objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
276625,Literary Reminiscences and Autobiographical Fragments,Ivan Turgenev,Russian,"Russian, Oryol 1818–1883 Bougival",1958,1958,1958,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276625,1951-2000,European,literary reminiscences and autobiographical fragments,5,5.4366666666666665
276635,Selected Poems of D.H. Lawrence,D. H. Lawrence,British,"British, 1885–1930",ca. 1951,1949,1953,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276635,1951-2000,European,selected poems of d h lawrence,6,5.785
276645,A Single Man,Christopher Isherwood,"British, American (naturalized)","British, 1904–1986",1964,1964,1964,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276645,1951-2000,European,a single man,3,5.419999999999999
276647,"Exhumations: Stories, Articles, and Verse",Christopher Isherwood,"British, American (naturalized)","British, 1904–1986",1966,1966,1966,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276647,1951-2000,European,exhumations stories articles and verse,5,5.84
276652,Shadows on the Grass,Isak Dinesen,Danish,"Danish, 1885–1962",1961,1961,1961,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276652,1951-2000,European,shadows on the grass,4,5.53
276654,The Oxford Book of English Prose,Sir Arthur Thomas Quiller-Couch,British,"British, Bodmin, Cornwall 1863–1944 Fowey, Cornwall",1952,1952,1952,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276654,1951-2000,European,the oxford book of english prose,6,5.913333333333334
276655,Stories of Three Decades,Thomas Mann,German,"German, Lübeck 1875–1955 Zürich, Switzerland",1966,1966,1966,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276655,1951-2000,European,stories of three decades,4,5.53
276657,Peasants and Other Stories,Anton Chekhov,Russian,"Russian, 1860–1904",1956 (?),1956,1956,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276657,1951-2000,European,peasants and other stories,4,5.375
276684,"The Works of Jane Austen: Volume VI, Minor Works",Jane Austen,British,"British, Steventon, Hampshire 1775–1817 Winchester, Hampshire",1954,1954,1954,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276684,1951-2000,European,the works of jane austen volume vi minor works,9,5.227500000000001
276336,War and Peace,Leo Tolstoy,Russian,"Russian, 1828–1910",1951,1951,1951,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276336,1951-2000,European,war and peace,3,4.96
276344,Selected Stories,Anton Chekhov,Russian,"Russian, 1860–1904",1960,1960,1960,Photographs,Books,,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/276344,1951-2000,European,selected stories,2,6.470000000000001
