region,period,count,mean,median,std,min,q25,q75,q05,q95,max
America,1900-1950,904,5.699630249740788,5.7039610389610385,0.5327085883835257,3.57,5.37575,6.004,4.94,6.551699999999999,7.92
America,1951-2000,893,5.7574413680135965,5.743333333333333,0.5267759796511362,3.1,5.44,6.07,4.976000000000001,6.705333333333333,7.94
Europe,1900-1950,831,5.501182421805222,5.52,0.6352111554478472,1.74,5.0550000000000015,5.885833333333334,4.6425,6.535,7.5
Europe,1951-2000,798,5.513135730199675,5.52,0.6086600727638984,2.58,5.0925,5.88,4.63,6.46,8.42
